# SYNTHETIC DATA -- NOT REAL MARKET DATA.
# Generated on 2026-08-04 by ml/generate_synthetic_prices.py (seed=20260804).
# This file is a fabricated placeholder for LME nickel and IDX Carbon daily
# prices. No real market series was obtainable at build time. It MUST be
# replaced with real data before any published result, demo, or
# presentation. See ml/DATA_PROVENANCE.md for what must change and where.
observed_on,lme_usd_per_ton,idx_carbon_idr_per_ton
2024-08-01,15835.21,
2024-08-02,16183.09,
2024-08-05,16203.90,45216.57
2024-08-06,16574.21,43330.44
2024-08-07,16751.72,45229.82
2024-08-08,16188.24,
2024-08-09,16320.67,
2024-08-12,16388.57,
2024-08-13,16322.47,45286.26
2024-08-14,16089.61,
2024-08-15,16183.49,
2024-08-16,16516.86,
2024-08-19,16384.95,
2024-08-20,15937.70,45276.29
2024-08-21,15834.21,
2024-08-22,15706.27,
2024-08-23,16112.56,
2024-08-26,15819.87,
2024-08-27,15597.97,
2024-08-28,15079.72,47718.90
2024-08-29,15290.55,
2024-08-30,15251.65,43287.27
2024-09-02,14600.68,
2024-09-03,14366.20,45073.89
2024-09-04,14662.02,
2024-09-05,14761.82,
2024-09-06,14338.26,
2024-09-09,13754.47,
2024-09-10,13779.26,
2024-09-11,13613.49,
2024-09-12,13781.12,
2024-09-13,13963.05,
2024-09-16,14165.59,
2024-09-17,14086.77,39726.79
2024-09-18,14332.14,
2024-09-19,14352.06,41422.34
2024-09-20,14550.66,
2024-09-23,14390.08,
2024-09-24,14256.56,
2024-09-25,14230.18,42777.16
2024-09-26,14601.53,
2024-09-27,14529.00,
2024-09-30,14344.90,
2024-10-01,14497.85,
2024-10-02,13968.72,
2024-10-03,13832.63,39754.44
2024-10-04,13575.02,
2024-10-07,13408.94,43161.92
2024-10-08,13205.22,
2024-10-09,13673.24,
2024-10-10,13538.70,40532.14
2024-10-11,13724.44,
2024-10-14,13140.76,
2024-10-15,13054.28,42291.64
2024-10-16,12857.55,
2024-10-17,13016.83,39820.46
2024-10-18,13164.87,
2024-10-21,13284.77,
2024-10-22,12794.78,
2024-10-23,12635.87,
2024-10-24,12882.92,
2024-10-25,12754.97,37604.38
2024-10-28,12803.64,
2024-10-29,12578.14,
2024-10-30,12838.69,
2024-10-31,12925.95,
2024-11-01,12816.71,
2024-11-04,12782.82,
2024-11-05,12469.60,
2024-11-06,12817.27,
2024-11-07,13103.21,
2024-11-08,13337.26,38783.09
2024-11-11,13502.91,
2024-11-12,13647.05,
2024-11-13,13648.60,
2024-11-14,13708.02,37941.17
2024-11-15,13763.35,44430.30
2024-11-18,13793.93,
2024-11-19,13929.60,
2024-11-20,13914.63,
2024-11-21,13628.16,
2024-11-22,13473.16,
2024-11-25,13627.12,
2024-11-26,13643.79,
2024-11-27,13528.35,
2024-11-28,13732.07,38955.23
2024-11-29,13847.38,43898.76
2024-12-02,13847.08,
2024-12-03,13974.77,
2024-12-04,13833.85,
2024-12-05,13982.48,
2024-12-06,14168.33,
2024-12-09,14060.56,
2024-12-10,14349.49,
2024-12-11,14280.37,
2024-12-12,14005.94,
2024-12-13,13846.18,
2024-12-16,13965.05,
2024-12-17,13839.56,
2024-12-18,13876.87,45061.07
2024-12-19,14199.96,
2024-12-20,14163.17,44724.20
2024-12-23,14088.57,
2024-12-24,13806.27,
2024-12-25,13583.75,
2024-12-26,13783.42,
2024-12-27,13288.61,
2024-12-30,13418.12,
2024-12-31,13298.07,44220.90
2025-01-01,13103.71,
2025-01-02,12718.02,
2025-01-03,12504.63,42851.51
2025-01-06,12868.01,
2025-01-07,13164.34,
2025-01-08,12654.66,
2025-01-09,12417.89,42656.48
2025-01-10,12730.08,
2025-01-13,12685.86,44719.06
2025-01-14,11809.18,
2025-01-15,11668.81,
2025-01-16,11843.33,42894.44
2025-01-17,11816.24,
2025-01-20,11802.28,
2025-01-21,11688.03,
2025-01-22,11815.44,
2025-01-23,12215.03,
2025-01-24,12245.53,
2025-01-27,12548.58,
2025-01-28,12663.24,38886.97
2025-01-29,12728.04,43055.70
2025-01-30,12836.34,
2025-01-31,12540.17,
2025-02-03,12838.33,
2025-02-04,12679.44,
2025-02-05,12962.07,
2025-02-06,12796.83,
2025-02-07,13069.65,
2025-02-10,12704.06,
2025-02-11,12849.13,45105.24
2025-02-12,13034.35,
2025-02-13,12551.48,
2025-02-14,12234.69,
2025-02-17,12483.23,
2025-02-18,12901.70,
2025-02-19,12630.36,
2025-02-20,12882.91,
2025-02-21,12971.83,
2025-02-24,13147.20,
2025-02-25,13460.00,
2025-02-26,13418.75,
2025-02-27,13279.13,
2025-02-28,13470.44,
2025-03-03,13375.84,
2025-03-04,14146.87,
2025-03-05,14136.95,
2025-03-06,13867.04,38602.80
2025-03-07,13885.65,
2025-03-10,13684.78,40724.80
2025-03-11,14062.78,
2025-03-12,13812.03,
2025-03-13,13791.28,41025.27
2025-03-14,14143.16,
2025-03-17,14572.97,
2025-03-18,14424.80,
2025-03-19,13830.67,
2025-03-20,13639.48,
2025-03-21,13784.07,
2025-03-24,13849.06,
2025-03-25,13835.28,
2025-03-26,13634.94,
2025-03-27,13279.24,44566.35
2025-03-28,13299.67,
2025-03-31,12866.86,
2025-04-01,12979.96,
2025-04-02,13061.20,
2025-04-03,13163.41,43577.90
2025-04-04,13210.49,42705.52
2025-04-07,12929.84,41978.67
2025-04-08,13056.82,
2025-04-09,12977.67,
2025-04-10,13492.88,51190.47
2025-04-11,13694.51,
2025-04-14,13232.49,
2025-04-15,12871.91,
2025-04-16,13108.12,
2025-04-17,13085.92,
2025-04-18,13206.38,
2025-04-21,13618.05,
2025-04-22,13658.25,
2025-04-23,13976.97,
2025-04-24,14208.85,
2025-04-25,14547.25,
2025-04-28,14407.48,
2025-04-29,14317.25,
2025-04-30,14400.61,
2025-05-01,13998.10,
2025-05-02,13980.74,
2025-05-05,14009.87,
2025-05-06,14119.04,
2025-05-07,14002.99,
2025-05-08,14364.03,46979.31
2025-05-09,14209.67,
2025-05-12,14379.84,
2025-05-13,14177.31,44329.61
2025-05-14,14575.22,46358.82
2025-05-15,14509.76,
2025-05-16,14522.11,
2025-05-19,14631.87,
2025-05-20,14722.73,
2025-05-21,15208.27,
2025-05-22,15082.87,
2025-05-23,15314.56,
2025-05-26,15682.39,50213.06
2025-05-27,16089.49,
2025-05-28,16694.01,
2025-05-29,17114.50,
2025-05-30,17693.03,46217.54
2025-06-02,17989.38,48145.31
2025-06-03,18577.69,
2025-06-04,18625.17,
2025-06-05,18842.28,
2025-06-06,18751.15,48401.75
2025-06-09,19252.80,
2025-06-10,19350.65,
2025-06-11,19951.96,
2025-06-12,20108.01,
2025-06-13,19899.84,
2025-06-16,19459.54,
2025-06-17,19872.80,
2025-06-18,19518.52,
2025-06-19,19832.07,47405.68
2025-06-20,19699.79,46455.27
2025-06-23,19223.15,
2025-06-24,18314.79,47279.60
2025-06-25,18082.41,
2025-06-26,18344.74,
2025-06-27,18771.10,
2025-06-30,18123.97,
2025-07-01,18219.30,43122.84
2025-07-02,18785.63,
2025-07-03,18239.47,
2025-07-04,18266.68,
2025-07-07,17934.87,
2025-07-08,17728.92,46150.53
2025-07-09,17857.33,49608.60
2025-07-10,17816.43,46718.98
2025-07-11,17692.56,47748.43
2025-07-14,17568.81,
2025-07-15,17483.57,44030.47
2025-07-16,17709.23,
2025-07-17,17986.62,
2025-07-18,17987.16,
2025-07-21,17974.12,
2025-07-22,17813.85,45959.96
2025-07-23,18202.28,45261.55
2025-07-24,18080.02,46495.18
2025-07-25,18032.09,48697.07
2025-07-28,18283.62,47035.35
2025-07-29,18341.55,
2025-07-30,18031.50,
2025-07-31,17863.21,
2025-08-01,17674.52,
2025-08-04,17903.61,
2025-08-05,17940.49,
2025-08-06,17731.00,45279.56
2025-08-07,18017.77,
2025-08-08,18108.33,
2025-08-11,18196.12,
2025-08-12,18206.41,
2025-08-13,18466.94,
2025-08-14,18709.63,
2025-08-15,18718.13,
